Span = ,-30,,,,,
SN slope,Mx,My,Mz,Fx,Fy,Fz
3,56566976.9560103,120820386.172346,22369360.9941227,1056251.75173819,778338.860419836,673365.586658894
4,48121765.9687769,116326266.579474,19937548.9573797,895084.241201946,605855.132627981,522318.224437835
5,46618202.8306642,117931425.608747,19562738.7789458,851208.666023255,541084.156513202,463317.205408038
6,47537263.1892019,121112332.101609,19897586.5170703,844637.657681342,515011.013419917,437470.084379054
7,49521183.8658139,124718367.187084,20492490.2563394,852031.953187892,506769.7383641,426931.302633121
8,52067313.9147784,128356221.533874,21170211.869731,865072.725081632,507993.542550294,424576.864179099
9,54954432.0198925,131871532.947891,21858790.3336839,880374.818336899,514653.802107874,427008.940843067
10,58054868.3286463,135203844.159577,22530288.4746948,896413.849541495,524551.779727432,432386.901554583
11,61269463.068981,138333980.187632,23175584.6992463,912452.904240119,536382.841240168,439613.397870079
12,64511681.9840919,141261722.350163,23793591.7703271,928122.380689967,549331.491250684,447985.189460054
13,67709989.9438411,143995517.480436,24386513.9836461,943237.707846663,562872.60484182,457027.757098128
14,70812235.0265528,146547524.889668,24957675.9074045,957712.933699462,576662.737027276,466410.436892256
Span = ,-29.8999996,,,,,
SN slope,Mx,My,Mz,Fx,Fy,Fz
3,56476194.9725687,120679917.816663,22379305.4122901,1056198.2402537,778351.709122131,673364.528176096
4,48048679.9220275,116206898.099616,19943354.2621233,894976.25782111,605866.774829802,522344.289942115
5,46550947.9296028,117821426.440757,19564869.9016585,851054.775869797,541096.109554425,463370.345045011
6,47473076.916218,121007804.247801,19896414.6704365,844453.397863202,515023.921923635,437553.385967003
7,49460229.670605,124617558.428552,20488566.1707643,851835.095601603,506783.948966169,427044.463668213
8,52010272.4915493,128258093.336753,21164193.6832944,864879.365922182,508009.252670471,424715.05632734
9,54901414.8606378,131775320.205801,21851351.7489882,880197.422286898,514671.115778416,427164.024509984
10,58005186.2805561,135108920.556352,22522055.456913,896260.693599652,524570.738650287,432549.569667719
11,61221919.0969337,138239822.924034,23167097.6871818,912328.391543036,536403.446902586,439775.153332788
12,64465007.579253,141167903.925921,23785287.0412726,928027.798033954,549353.721108584,448139.544226549
13,67663146.0770794,143901700.353237,24378718.855892,943172.113578559,562896.423055362,457170.568539263
14,70764510.2234803,146453453.04872,24950613.2634529,957673.982242986,576688.10043428,466539.633901388
Span = ,-25,,,,,
SN slope,Mx,My,Mz,Fx,Fy,Fz
3,52959834.1673478,116139023.266552,22387239.9491631,1056718.26101821,778481.573457662,672563.044441273
4,45422360.5121298,112236427.38205,19953720.7976386,895697.851564739,606016.811648679,521522.251109653
5,44255695.1811251,113948100.387124,19577278.6910794,851999.805937795,541272.692426055,462392.105943231
6,45297635.889815,117111744.958229,19910087.6015985,845602.59025572,515232.443915114,436333.16435095
7,47312763.0950932,120660126.820057,20502714.2505469,853155.621698141,507028.413375689,425514.913624361
8,49849492.7074255,124225703.793866,21178190.0923601,866337.383554288,508292.244883695,422821.607463565
9,52707607.8161701,127664178.64983,21864746.7167655,881762.822855356,514993.938143729,424863.682882884
10,55766856.1845966,130919611.586627,22534540.8858729,897908.67710289,524933.684573113,429810.334705544
11,58930204.9299015,133974987.558159,23178471.0709506,914039.618489455,536806.126093949,436575.53625244
12,62112339.4969882,136831129.49156,23795425.6153796,929787.833718045,549795.346063525,444468.201306967
13,65243693.5176782,139496957.361039,24387562.7428434,944970.565015537,563376.0065793,453025.937565649
14,68274788.634479,141984798.64445,24958154.3911335,959503.577873746,577204.55705822,461929.361209772
Span = ,-24.8999996,,,,,
SN slope,Mx,My,Mz,Fx,Fy,Fz
3,52894534.8319015,115800608.359907,22387202.1032528,1056768.06241038,778235.21136524,672656.929024523
4,45373212.6697179,111892911.260893,19953693.935192,895607.237487799,605788.750071739,521707.705034573
5,44207998.3078106,113579296.695289,19577256.7222716,851734.44853757,541038.460935518,462681.842467222
6,45244364.5071975,116700760.208313,19910067.9761983,845155.767710038,514980.889853239,436739.415852624
