Span:,-30,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mz,Min,dlc13_U24_Ym10_735,-26835030,49104397.8,55958563.8,-90465654.6,748188.140625,362713.78125,831472.678125,-32109404.4,1.35
Fx,Max,dlc13_U18_Ym10_353,-2561103.5625,685137484.8,685142236.8,-18745276.5,4753944,222159.48046875,4759132.05,-33289911.9,1.35
Fx,Min,dlc14_U11,151076858.4,-292419439.2,329140303.2,53856165.6,-1310153.990625,-782200.884375,1525890.4875,-32651618.4,1.35
Fy,Max,dlc61_U50_Ym8_278,-729229046.4,148711431.6,744237936,-41688899.1,1805580.95625,4343327.6625,4703681.475,-31942854.9,1.35
Fy,Min,dlc61_U50_Yp8_37,670769251.2,-74928591,674941248,44448334.2,551166.7359375,-3999305.475,4037106.4875,-32257140.3,1.35
Fxy,Max,dlc13_U18_Ym10_353,36520389,683785929.6,684760478.4,-20974792.05,4735252.2375,-541956.1921875,4766164.875,-33076728,1.35
Fxy,Min,dlc64_U06_Ym8_468,-208985.296875,-75154496,75154784,-80218.8828125,3.8290159702301,-2.5197057723999,4.58369731903076,-24179608,1
Fz,Max,dlc64_U34_Yp8_669,98063088,36883664,104770104,10995760,651044.625,-541054.875,846522,-23402976,1
Fz,Min,dlc13_U26_Yp10_839,33183391.5,231092092.8,233462412,50223704.4,3003168.4875,554942.221875,3054010.8375,-34448112,1.35
Span:,-24.8999996,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,670370040,-74983946.4,674550633.6,44448039.9,552238.7625,-3992038.0875,4030054.0875,-32238186.3,1.35
Mx,Min,dlc61_U50_Ym8_278,-728795577.6,148530866.4,743777164.8,-41688531.9,1804276.18125,4335429.15,4695887.5875,-31923892.8,1.35
My,Max,dlc13_U18_Ym10_353,14951865.6,686874859.2,687037593.6,-16827104.7,4655265.4125,-186128.971875,4658984.6625,-32921642.7,1.35
My,Min,dlc14_U11,154033704,-293811602.4,331740316.8,53062549.2,-1293058.265625,-802301.540625,1521738.225,-32650776,1.35
Mxy,Max,dlc61_U50_Ym8_278,-727973481.6,158360335.2,744998860.8,-40520995.2,1898965.18125,4323346.9875,4722012.1125,-32002578.9,1.35
Mxy,Min,dlc13_U04_Ym10_879,595.501034545899,-7933.8287109375,7956.1458984375,19121927.85,444545.2125,137619.052734375,465359.5125,-32512538.7,1.35
Mz,Max,dlc13_U24_Yp10_735,46454121,42084916.2,62682735.6,82457449.2,1056482.6625,375570.9703125,1121253.384375,-33424471.8,1.35
Mz,Min,dlc13_U24_Ym10_735,-26798787.9,49029624,55875565.8,-90465622.2,747603.84375,362500.0171875,830853.703125,-32090496.3,1.35
Fx,Max,dlc13_U18_Ym10_353,-2538945.675,684662803.2,684667512,-18745303.5,4746656.3625,222166.44140625,4751852.85,-33270947.1,1.35
Fx,Min,dlc14_U11,150998731.2,-292288802.4,328988390.4,53856138.6,-1306955.334375,-780595.059375,1522320.91875,-32632702.2,1.35
