Span:,-30,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Fxy,Min,dlc64_U04_Yp8_988,-6898.60302734375,-74104328,74104328,-34843.71875,-15.1075105667114,4.60716247558594,15.7943925857544,-21580604,1
Fz,Max,dlc64_U34_Yp8_669,87213680,23849782,90415920,10995217,653983.4375,-548650.5625,853646.125,-20800152,1
Fz,Min,dlc13_U26_Yp10_839,44187997.5,171086407.2,176700700.8,50201958.6,2989799.1,533720.5171875,3037063.6125,-30933249.3,1.35
Span:,-4.9000001,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,590042059.2,-85975511.4,596272924.8,44399461.5,542481.9328125,-4053259.9125,4089401.4375,-28718342.1,1.35
Mx,Min,dlc61_U50_Ym8_278,-641567995.2,112339764,651329164.8,-41631399.9,1814205.76875,4401985.8375,4761178.65,-28401402.6,1.35
My,Max,dlc13_U20_Yp10_82,23932681.2,595234828.8,595715774.4,5595557.2875,4616787.0375,-48126.7353515625,4617037.8,-29837616.3,1.35
My,Min,dlc14_U11,139254735.6,-267935148,301962124.8,52564123.8,-1309829.821875,-832967.128125,1552252.6125,-29149194.6,1.35
Mxy,Max,dlc61_U50_Ym8_278,-640984752,120275398.8,652171478.4,-40463652.6,1908641.64375,4390344.7875,4787278.875,-28480023.9,1.35
Mxy,Min,dlc13_U04_Yp10_879,-4858.77293701172,-16608.3275390625,17304.4568847656,1306481.4,772755.778125,55579.90078125,774751.921875,-29263023.9,1.35
Mz,Max,dlc13_U24_Yp10_735,53890509.6,20989319.4,57833713.8,82402941.6,1049526.28125,361396.771875,1110005.859375,-29913869.7,1.35
Mz,Min,dlc13_U24_Ym10_735,-19559978.55,34042518,39261761.1,-90442656,752847.328125,360196.959375,834578.353125,-28579716,1.35
Fx,Max,dlc13_U18_Ym10_353,1889342.2125,589250203.2,589253227.2,-18743988.6,4803793.7625,221264.00859375,4808886.975,-29749212.9,1.35
Fx,Min,dlc14_U11,135255700.8,-265929955.2,298350194.4,53852499,-1335319.340625,-795512.053125,1554322.1625,-29120274.9,1.35
Fy,Max,dlc61_U50_Ym8_278,-641567995.2,112339764,651329164.8,-41631399.9,1814205.76875,4401985.8375,4761178.65,-28401402.6,1.35
Fy,Min,dlc61_U50_Yp8_37,590042059.2,-85975511.4,596272924.8,44399461.5,542481.9328125,-4053259.9125,4089401.4375,-28718342.1,1.35
Fxy,Max,dlc13_U18_Ym10_353,25673878.8,588264422.4,588824380.8,-20921811.3,4786659.9,-530132.3859375,4815927.225,-29535912.9,1.35
Fxy,Min,dlc64_U04_Yp8_347,-20373.326171875,-74488152,74488152,51438.78125,10.3399562835693,0.298800259828568,10.3442726135254,-21571174,1
Fz,Max,dlc64_U34_Yp8_669,87158840,23784392,90345784,10995222,653962.25,-548517.75,853544.5625,-20788164,1
Fz,Min,dlc13_U26_Yp10_839,44241614.1,170787182.4,176424436.8,50201899.2,2989281.375,533655.590625,3036542.85,-30917060.1,1.35
Span:,0,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,570115324.8,-88629481.8,576963345.6,44390875.5,538264.321875,-4079943.3375,4115296.4625,-27940091.4,1.35
Mx,Min,dlc61_U50_Ym8_278,-619929288,103432712.4,628498699.2,-41622322.5,1818532.18125,4430852.55,4789521.225,-27622495.8,1.35
My,Max,dlc13_U20_Yp10_82,23697168.3,572546707.2,573036897.6,5598315,4642997.625,-47955.4646484375,4643245.0125,-29058963.3,1.35
My,Min,dlc14_U11,135153403.2,-261488239.2,294351062.4,52563357,-1322614.74375,-839784.20625,1566699.46875,-28372796.1,1.35
Mxy,Max,dlc61_U50_Ym8_278,-619402852.8,110906031.6,629253576,-40455444.6,1912629.54375,4419420.075,4815540.1125,-27701100.9,1.35
Mxy,Min,dlc13_U06_Yp10_970,-12385.7674804688,3917.225390625,12990.4541015625,5228352.225,642608.015625,-77286.687890625,647238.9796875,-28367725.5,1.35
Mz,Max,dlc13_U24_Yp10_735,55643252.4,15851907.9,57857187.6,82381060.8,1045348.115625,350656.2140625,1102593.6,-29137954.5,1.35
Mz,Min,dlc13_U24_Ym10_735,-17797774.95,30347948.7,35181796.5,-90432509.4,755753.203125,358467.946875,836458.059375,-27803757.6,1.35
Fx,Max,dlc13_U18_Ym10_353,2969503.875,565651512,565659331.2,-18741808.35,4826624.625,220516.48828125,4831659.45,-28970532.9,1.35
Fx,Min,dlc14_U11,131337871.2,-259358716.8,290717359.2,53851910.4,-1347718.246875,-802337.4,1568467.29375,-28343884.5,1.35
Fy,Max,dlc61_U50_Ym8_278,-619929288,103432712.4,628498699.2,-41622322.5,1818532.18125,4430852.55,4789521.225,-27622495.8,1.35
Fy,Min,dlc61_U50_Yp8_37,570115324.8,-88629481.8,576963345.6,44390875.5,538264.321875,-4079943.3375,4115296.4625,-27940091.4,1.35
Fxy,Max,dlc13_U18_Ym10_353,23083425.9,564748761.6,565220332.8,-20911641.75,4810255.2,-522622.040625,4838562.675,-28757203.2,1.35
Fxy,Min,dlc64_U04_Yp8_835,100196.8046875,-73850840,73850912,57623.37109375,17.7739505767822,-26.353910446167,31.7874488830566,-20993928,1
Fz,Max,dlc64_U34_Yp8_669,84461384,20576296,86931632,10995540,655625.1875,-552834.3125,857595.5625,-20213320,1
Fz,Min,dlc13_U26_Yp10_839,46838919.6,156148452,163022155.2,50199318,2978708.175,520841.30625,3023901.1125,-30140793.9,1.35
Span:,0.1,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,569707257.6,-88683422.4,576568368,44390716.2,538199.521875,-4080132,4115475,-27924552.9,1.35
Mx,Min,dlc61_U50_Ym8_278,-619486142.4,103250710.8,628031664,-41622157.8,1818347.4,4431026.3625,4789611.675,-27606943.8,1.35
My,Max,dlc13_U20_Yp10_82,23692370.4,572082307.2,572572713.6,5598371.3625,4643173.8,-47971.986328125,4643421.525,-29043416.7,1.35
My,Min,dlc14_U11,135069346.8,-261355982.4,294194959.2,52563346.2,-1322778.853125,-839741.428125,1566815.0625,-28357295.4,1.35
Mxy,Max,dlc61_U50_Ym8_278,-618960873.6,110714623.2,628784769.6,-40455301.5,1912456.06875,4419601.65,4815637.65,-27685548.9,1.35
Mxy,Min,dlc13_U06_Y0_217,2155.39694824219,4109.45635986328,4640.40615234375,-6601387.95,818505.253125,117709.284375,826925.878125,-28480912.2,1.35
Mz,Max,dlc13_U24_Yp10_735,55678455,15747284.25,57862485,82380580.2,1045228.3875,350470.8,1102421.053125,-29122464.6,1.35
Mz,Min,dlc13_U24_Ym10_735,-17761901.4,30272394.6,35098474.5,-90432288,755778.346875,358427.2359375,836463.375,-27788265,1.35
Fx,Max,dlc13_U18_Ym10_353,2991506.85,565168708.8,565176657.6,-18741757.05,4826736,220471.01015625,4831768.4625,-28954986.3,1.35
Fx,Min,dlc14_U11,131257562.4,-259223954.4,290560845.6,53851899.6,-1347872.484375,-802296.646875,1568579.00625,-28328383.8,1.35
Fy,Max,dlc61_U50_Ym8_278,-619486142.4,103250710.8,628031664,-41622157.8,1818347.4,4431026.3625,4789611.675,-27606943.8,1.35
Fy,Min,dlc61_U50_Yp8_37,569707257.6,-88683422.4,576568368,44390716.2,538199.521875,-4080132,4115475,-27924552.9,1.35
Fxy,Max,dlc13_U18_Ym10_353,23030956.8,564267643.2,564737443.2,-20911444.65,4810387.1625,-522456.4546875,4838675.7375,-28741653.9,1.35
Fxy,Min,dlc64_U04_Yp8_835,100194.28125,-73850840,73850912,57623.45703125,-21.9964828491211,-25.2925281524658,33.5195045471191,-20982452,1
Fz,Max,dlc64_U34_Yp8_669,84406104,20510738,86862424,10995548,655631.0625,-552880.6875,857629.9375,-20201844,1
Fz,Min,dlc13_U26_Yp10_839,46891245.6,155850274.8,162751636.8,50199274.8,2978355.15,520589.278125,3023509.95,-30125295.9,1.35
Span:,5,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,549696240,-91300035.6,557226734.4,44383520.7,524968.59375,-4084690.95,4118287.3875,-27180054.9,1.35
Mx,Min,dlc61_U50_Ym8_278,-597761337.6,94390088.4,605167848,-41615075.7,1792084.33125,4434069.2625,4782524.175,-26861784.3,1.35
My,Max,dlc13_U20_Yp10_82,23456196,549309384,549809942.4,5601143.5875,4649255.8875,-48088.83515625,4649504.625,-28298527.2,1.35
My,Min,dlc14_U11,132189073.2,-254855505.6,287098041.6,52016002.2,-1318136.203125,-851269.078125,1569121.36875,-27624342.6,1.35
Mxy,Max,dlc61_U50_Ym8_278,-597292142.4,101389708.8,605836411.2,-40449434.4,1887298.48125,4422535.5375,4808400.6375,-26940373.2,1.35
Mxy,Min,dlc13_U04_Yp10_149,7232.867578125,16351.5071777344,17879.769140625,275744.98828125,508317.5671875,135654.159375,526107.234375,-27561872.7,1.35
Mz,Max,dlc13_U24_Yp10_735,57380853.6,10640066.175,58359004.2,82355616,1036474.565625,341239.68984375,1091203.059375,-28380329.1,1.35
Mz,Min,dlc13_U24_Ym10_735,-16010030.7,26573983.2,31024144.8,-90420505.2,753786.253125,355820.259375,833547.7125,-27046086.3,1.35
Fx,Max,dlc13_U18_Ym10_353,4062594.825,541502884.8,541518134.4,-18738881.55,4828862.25,217487.9953125,4833757.6875,-28210077.9,1.35
Fx,Min,dlc14_U11,127332313.2,-252599817.6,282878395.2,53851440.6,-1356133.303125,-797837.34375,1573417.40625,-27585759.6,1.35
Fy,Max,dlc61_U50_Ym8_278,-597761337.6,94390088.4,605167848,-41615075.7,1792084.33125,4434069.2625,4782524.175,-26861784.3,1.35
Fy,Min,dlc61_U50_Yp8_37,549696240,-91300035.6,557226734.4,44383520.7,524968.59375,-4084690.95,4118287.3875,-27180054.9,1.35
Fxy,Max,dlc13_U18_Ym10_353,20480974.2,540680270.4,541068033.6,-20902390.2,4813465.5,-513455.2453125,4840773.3,-27996713.1,1.35
Fxy,Min,dlc64_U06_Yp8_468,354109.15625,-73875800,73876648,205005.515625,-1.874640583992,25.4750003814697,25.5438823699951,-20426552,1
Fz,Max,dlc64_U34_Yp8_669,81692864,17304216,83505448,10996037,652391.5,-554505.4375,856207.3125,-19652022,1
Fz,Min,dlc13_U26_Yp10_839,49422819.6,141289768.8,149684382,50197752,2955985.9875,507079.0265625,2999163.7125,-29382825.6,1.35
Span:,5.0999999,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,549287654.4,-91352620.8,556832318.4,44383388.4,524537.9015625,-4084703.4375,4118244.8625,-27165083.4,1.35
Mx,Min,dlc61_U50_Ym8_278,-597317889.6,94210765.2,604701849.6,-41614951.5,1791354.99375,4434052.725,4782235.6125,-26846802,1.35
My,Max,dlc13_U20_Yp10_82,23451381.9,548844336,549345153.6,5601200.2875,4649343.3,-48075.9521484375,4649591.7,-28283547.6,1.35
My,Min,dlc14_U11,132103872,-254723724,286941808.8,52015991.4,-1318322.25,-851148.675,1569212.49375,-27609408.9,1.35
Mxy,Max,dlc61_U50_Ym8_278,-596849860.8,101200860,605368771.2,-40449339.9,1886591.08125,4422506.85,4808096.55,-26925388.2,1.35
Mxy,Min,dlc11_U04_Ym10_917,-11943.1030273438,19622.8820800781,22971.6162109375,8079380.625,504319.6875,56909.2626953125,507520.46875,-25526860,1.25
Mz,Max,dlc13_U24_Yp10_735,57415122,10536320.7,58373881.2,82355076,1036246.078125,341042.67421875,1090924.36875,-28365406.2,1.35
Mz,Min,dlc13_U24_Ym10_735,-15974419.05,26498637,30941233.2,-90420251.4,753712.93125,355756.1765625,833453.971875,-27031160.7,1.35
Fx,Max,dlc13_U18_Ym10_353,4084296.075,541019865.6,541035288,-18738815.4,4828850.775,217419.3984375,4833743.175,-28195101,1.35
Fx,Min,dlc14_U11,127252458,-252464212.8,282721363.2,53851429.8,-1356303.571875,-797722.59375,1573505.83125,-27570825.9,1.35
Fy,Max,dlc61_U50_Ym8_278,-597317889.6,94210765.2,604701849.6,-41614951.5,1791354.99375,4434052.725,4782235.6125,-26846802,1.35
Fy,Min,dlc61_U50_Yp8_37,549287654.4,-91352620.8,556832318.4,44383388.4,524537.9015625,-4084703.4375,4118244.8625,-27165083.4,1.35
Fxy,Max,dlc13_U18_Ym10_353,20429409.6,540198806.4,540584971.2,-20902217.4,4813469.8875,-513246.0796875,4840755.75,-27981733.5,1.35
Fxy,Min,dlc64_U06_Yp8_354,87400.265625,-73775664,73775720,-6110.17919921875,22.9139499664307,-0.918841898441315,22.9323673248291,-20413864,1
Fz,Max,dlc64_U34_Yp8_669,81637424,17238988,83437712,10996049,652271.5,-554527.125,856129.9375,-19640966,1
Fz,Min,dlc13_U26_Yp10_839,49473774,140993827.2,149421931.2,50197735.8,2955431.1375,506776.1625,2998565.6625,-29367894.6,1.35
Span:,10,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,529270156.8,-93869517.6,537529867.2,44377659,499263.159375,-4083136.7625,4113546.8625,-26442425.7,1.35
Mx,Min,dlc61_U50_Ym8_278,-575593473.6,85516511.4,581911430.4,-41609959.2,1753736.0625,4431236.625,4765652.8875,-26123496.3,1.35
My,Max,dlc13_U20_Yp10_82,23217845.4,526048862.4,526560955.2,5603987.3625,4652193.825,-46919.9091796875,4652430.4125,-27560517.3,1.35
My,Min,dlc14_U11,127944338.4,-248242860,279274543.2,52015575.6,-1327218.496875,-844830.84375,1573292.025,-26888592.6,1.35
Mxy,Max,dlc61_U50_Ym8_278,-575184067.2,92037362.4,582501153.6,-40445935.2,1849709.25,4418891.8875,4790410.2,-26202069,1.35
Mxy,Min,dlc13_U20_Ym10_184,20409.3026367188,23954.0203125,31469.5836914063,-1987675.03125,806194.096875,431347.5703125,914335.59375,-26977455,1.35
Mz,Max,dlc13_U24_Yp10_735,59068936.8,5482939.275,59322861,82326801.6,1023462,330488.60625,1075498.59375,-27645092.1,1.35
Mz,Min,dlc13_U24_Ym10_735,-14237943.75,22816201.5,26894203.2,-90406724.4,749922.553125,352116.38671875,828474.328125,-26310800.7,1.35
Fx,Max,dlc13_U18_Ym10_353,5139252.225,517355078.4,517380652.8,-18735198.75,4826198.3625,214000.24921875,4830940.575,-27472059.9,1.35
Fx,Min,dlc14_U11,123354025.2,-245798733.6,275014980,53851095,-1364368.55625,-791740.996875,1577452.21875,-26850017.7,1.35
Fy,Max,dlc61_U50_Ym8_278,-575593473.6,85516511.4,581911430.4,-41609959.2,1753736.0625,4431236.625,4765652.8875,-26123496.3,1.35
Fy,Min,dlc61_U50_Yp8_37,529270156.8,-93869517.6,537529867.2,44377659,499263.159375,-4083136.7625,4113546.8625,-26442425.7,1.35
Fxy,Max,dlc13_U18_Ym10_353,17930548.8,516608625.6,516919665.6,-20894317.2,4811441.5125,-501397.4671875,4837496.175,-27258660,1.35
Fxy,Min,dlc64_U08_Yp8_569,-353650.15625,-73780312,73781160,-137999.25,0.174191877245903,10.044487953186,10.0459985733032,-19886048,1
Fz,Max,dlc64_U34_Yp8_669,78918640,14059425,80161208,10996718,645284,-555176.25,851241.5,-19107306,1
Fz,Min,dlc13_U26_Yp10_839,51931135.8,126566377.2,136806040.8,50197336.2,2923961.2875,490327.5515625,2964788.325,-28647267.3,1.35
Span:,10.1000004,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,528861787.2,-93919521.6,537136531.2,44377559.1,498663,-4083061.1625,4113399.0375,-26427883.5,1.35
Mx,Min,dlc61_U50_Ym8_278,-575150328,85341033,581447332.8,-41609878.2,1752931.125,4431139.425,4765266.45,-26108940.6,1.35
My,Max,dlc13_U20_Yp10_82,23213147.4,525583555.2,526095907.2,5604044.4,4652222.5125,-46885.60546875,4652458.7625,-27545967,1.35
My,Min,dlc14_U11,127859774.4,-248110149.6,279117835.2,52015570.2,-1327395.43125,-844693.65,1573367.79375,-26874088.2,1.35
Mxy,Max,dlc61_U50_Ym8_278,-574742131.2,91852272,582035544,-40445889.3,1848912.075,4418773.0875,4789992.7125,-26187513.3,1.35
Mxy,Min,dlc13_U06_Ym10_927,24409.3104492188,-45923.6830078125,52007.684765625,-10701946.8,749901.375,29123.982421875,750466.6875,-27017782.2,1.35
Mz,Max,dlc13_U24_Yp10_735,59102136,5380484.0625,59346540,82326191.4,1023168.54375,330254.14921875,1075147.340625,-27630595.8,1.35
Mz,Min,dlc13_U24_Ym10_735,-14202699.3,22741246.8,26811955.8,-90406427.4,749841.46875,352031.75859375,828364.978125,-26296304.4,1.35
Fx,Max,dlc13_U18_Ym10_353,5160607.875,516872275.2,516898065.6,-18735117.75,4826100.15,213929.26875,4830839.325,-27457509.6,1.35
Fx,Min,dlc14_U11,123274774.8,-245662308,274857494.4,53851089.6,-1364527.265625,-791611.81875,1577524.6125,-26835513.3,1.35
Fy,Max,dlc61_U50_Ym8_278,-575150328,85341033,581447332.8,-41609878.2,1752931.125,4431139.425,4765266.45,-26108940.6,1.35
Fy,Min,dlc61_U50_Yp8_37,528861787.2,-93919521.6,537136531.2,44377559.1,498663,-4083061.1625,4113399.0375,-26427883.5,1.35
Fxy,Max,dlc13_U18_Ym10_353,17880181.65,516127334.4,516436948.8,-20894167.35,4811355.45,-501122.4046875,4837382.1,-27244109.7,1.35
Fxy,Min,dlc64_U06_Ym8_429,-135879.84375,-73240832,73240952,58286.5,20.3779678344727,6.05312061309814,21.2579822540283,-19880850,1
Fz,Max,dlc64_U34_Yp8_669,78863136,13994912,80095264,10996733,645119.125,-555181,851119.625,-19096566,1
Fz,Min,dlc13_U26_Yp10_839,51980421.6,126273610.8,136553979.6,50197341.6,2923229.925,489958.4109375,2964006,-28632765.6,1.35
Span:,15,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,508858891.2,-96292098,517889505.6,44373222.9,466933.6546875,-4079302.0875,4105938.9375,-25725359.7,1.35
Mx,Min,dlc61_U50_Ym8_278,-553447425.6,76840558.2,558756230.4,-41606848.8,1713837.15,4425519.0375,4745782.9125,-25405790.4,1.35
My,Max,dlc13_U20_Yp10_82,22987424.7,502781083.2,503306308.8,5606851.05,4651879.6125,-44956.1232421875,4652096.9625,-26843089.5,1.35
My,Min,dlc14_U11,123733699.2,-241585848,271429099.2,52015343.4,-1335792.853125,-837658.29375,1576709.8875,-26173376.1,1.35
Mxy,Max,dlc61_U50_Ym8_278,-553102171.2,82880577,559277395.2,-40444820.1,1809834.80625,4412357.8875,4769109.225,-25484349.6,1.35
Mxy,Min,dlc13_U04_Yp10_149,-9537.47380371094,-34460.4849609375,35755.9576171875,-9241391.925,782450.38125,81755.694140625,786709.96875,-26230478.4,1.35
Mz,Max,dlc13_U24_Yp10_735,60698273.4,397910.896875,60699580.2,82294655.4,1007448.13125,317461.359375,1056282.8625,-26930385.9,1.35
Mz,Min,dlc13_U24_Ym10_735,-12487150.35,19078984.35,22802118.3,-90391188.6,745671.825,347128.790625,822511.29375,-25596048.6,1.35
Fx,Max,dlc13_U18_Ym10_353,6198411.6,493230816,493269782.4,-18730777.5,4819151.3625,210443.71640625,4823744.0625,-26754642.9,1.35
Fx,Min,dlc14_U11,119407878,-238957905.6,267131282.4,53850868.2,-1371926.446875,-785019.346875,1580644.63125,-26134809.3,1.35
Fy,Max,dlc61_U50_Ym8_278,-553447425.6,76840558.2,558756230.4,-41606848.8,1713837.15,4425519.0375,4745782.9125,-25405790.4,1.35
Fy,Min,dlc61_U50_Yp8_37,508858891.2,-96292098,517889505.6,44373222.9,466933.6546875,-4079302.0875,4105938.9375,-25725359.7,1.35
Fxy,Max,dlc13_U18_Ym10_353,15448171.5,492556680,492798859.2,-20887368.75,4805484.3,-485987.4703125,4829996.25,-26541205.2,1.35
Fxy,Min,dlc64_U06_Yp8_621,-111677.0859375,-73644984,73645072,120292.515625,22.5684947967529,-22.5277481079102,31.8878726959229,-19353156,1
Fz,Max,dlc64_U34_Yp8_669,76143016,10854740,76912832,10997576,636594.1875,-555097.4375,844621.375,-18577802,1
Fz,Min,dlc13_U26_Yp10_839,54347635.8,112022924.4,124510251.6,50198032.8,2883431.925,470230.3125,2921522.85,-27932272.2,1.35
Span:,15.1000004,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,508450867.2,-96338851.2,517497292.8,44373147.3,466238.7,-4079227.8375,4105786.05,-25711292.7,1.35
Mx,Min,dlc61_U50_Ym8_278,-553004798.4,76669065,558294206.4,-41606805.6,1713047.56875,4425391.125,4745378.5875,-25391712.6,1.35
My,Max,dlc13_U20_Yp10_82,22982921.1,502315776,502841304,5606908.425,4651841.1375,-44912.2271484375,4652058.15,-26829017.1,1.35
My,Min,dlc14_U11,123649858.8,-241452273.6,271271980.8,52015343.4,-1335960.3375,-837508.95,1576772.49375,-26159346.9,1.35
Mxy,Max,dlc61_U50_Ym8_278,-552660883.2,82699477.2,558814161.6,-40444820.1,1809038.475,4412218.5,4768678.2375,-25470271.8,1.35
Mxy,Min,dlc13_U20_Ym10_82,16008.3276855469,-21249.3981445313,26604.5765625,-8381998.8,892375.565625,318195.2109375,947408.23125,-26375004,1.35
Mz,Max,dlc13_U24_Yp10_735,60730171.2,297047.27109375,60730900.2,82293980.4,1007101.265625,317174.46328125,1055865.796875,-26916364.8,1.35
Mz,Min,dlc13_U24_Ym10_735,-12452401.35,19004461.65,22720734.9,-90390859.2,745582.3875,347013.703125,822381.69375,-25582030.2,1.35
Fx,Max,dlc13_U18_Ym10_353,6219414.225,492748747.2,492787972.8,-18730681.65,4818969.7875,210372.58828125,4823559.7875,-26740567.8,1.35
Fx,Min,dlc14_U11,119329308,-238820724,266973451.2,53850868.2,-1372071.909375,-784880.55,1580702.00625,-26120780.1,1.35
Fy,Max,dlc61_U50_Ym8_278,-553004798.4,76669065,558294206.4,-41606805.6,1713047.56875,4425391.125,4745378.5875,-25391712.6,1.35
Fy,Min,dlc61_U50_Yp8_37,508450867.2,-96338851.2,517497292.8,44373147.3,466238.7,-4079227.8375,4105786.05,-25711292.7,1.35
Fxy,Max,dlc13_U18_Ym10_353,15399339.3,492075993.6,492316876.8,-20887240.5,4805335.8,-485646.384375,4829814,-26527132.8,1.35
Fxy,Min,dlc64_U06_Yp8_621,-111679.0078125,-73644984,73645072,120294.0546875,-22.2787666320801,-20.3460273742676,30.1712493896484,-19342772,1
Fz,Max,dlc64_U34_Yp8_669,76087512,10791098,76848928,10997595,636411.3125,-555089.625,844478.4375,-18567414,1
Fz,Min,dlc13_U26_Yp10_839,54394907.4,111734186.4,124271215.2,50198059.8,2882542.95,469795.865625,2920575.4875,-27918245.7,1.35
Span:,28,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,456087715.2,-100115794.8,466946640,44731688.4,344202.496875,-4030323.75,4044995.2125,-23924581.2,1.35
Mx,Min,dlc61_U50_Ym8_278,-496040457.6,55241913.6,499107009.6,-41606943.3,1603498.10625,4401003.7125,4684019.7375,-23610806.1,1.35
My,Max,dlc13_U20_Yp10_82,22442063.85,442368432,442937332.8,5614527.825,4634836.5375,-38208.7125,4634994.15,-25048847.7,1.35
My,Min,dlc14_U11,113777125.2,-224098099.2,251326864.8,51430096.8,-1343159.38125,-830592.05625,1579227.80625,-24391454.4,1.35
Mxy,Max,dlc61_U50_Ym8_278,-495867744,60039570.6,499489329.6,-40451913,1698203.30625,4388429.475,4705550.55,-23689332.9,1.35
Mxy,Min,dlc13_U04_Ym10_905,27353.8186523438,-8719.13254394531,28709.8356445313,6422342.175,890761.471875,12364.1714355469,890847.28125,-24424375.5,1.35
Mz,Max,dlc13_U24_Yp10_735,64558711.8,-12408499.35,65740383,82194717.6,958044.290625,268897.134375,995065.0875,-25142807.7,1.35
Mz,Min,dlc13_U24_Ym10_735,-8073274.05,9463467.6,12439251,-90342340.2,734989.359375,330265.8140625,805782.09375,-23808373.2,1.35
Fx,Max,dlc13_U18_Ym10_353,8865182.025,430771694.4,430862889.6,-18715815.45,4779735.075,200094.0890625,4783921.425,-24960495.6,1.35
Fx,Min,dlc14_U11,109315580.4,-221012474.4,246569270.4,53850690,-1387369.0125,-765445.44375,1584518.625,-24345956.7,1.35
Fy,Max,dlc61_U50_Ym8_278,-496040457.6,55241913.6,499107009.6,-41606943.3,1603498.10625,4401003.7125,4684019.7375,-23610806.1,1.35
Fy,Min,dlc61_U50_Yp8_37,455901048,-101741853.6,467115811.2,44367299.1,366426.28125,-4062451.05,4078942.9875,-23931909,1.35
Fxy,Max,dlc13_U18_Ym10_353,9437158.8,430237008,430340515.2,-20873739.15,4773150.7875,-428799.740625,4792372.7625,-24746960.7,1.35
Fxy,Min,dlc64_U08_Ym8_181,-356120.5,-73601216,73602080,-165690.703125,54.5562133789063,-4.03120470046997,54.7049446105957,-18012920,1
Fz,Max,dlc64_U34_Yp8_669,68934224,2744166.5,68988824,11000599,610656.75,-553982.5625,824498.875,-17253446,1
Fz,Min,dlc13_U26_Yp10_839,60076933.2,75356713.8,96373605.6,50204745,2736322.425,401035.0921875,2765554.14375,-26144110.8,1.35
Span:,28.1000004,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,455684572.8,-100150257.6,466560302.4,44731718.1,343408.00078125,-4030178.9625,4044783.2625,-23911316.1,1.35
Mx,Min,dlc61_U50_Ym8_278,-495600292.8,55081474.2,498651811.2,-41606986.5,1602589.3875,4400766.45,4683485.475,-23597530.2,1.35
My,Max,dlc13_U20_Yp10_82,22438228.5,441904809.6,442474099.2,5614587.5625,4634627.9625,-38150.567578125,4634784.9,-25035577.2,1.35
My,Min,dlc14_U11,113693997.6,-223963790.4,251169465.6,51430102.2,-1343295.5625,-830408.709375,1579247.04375,-24378224.4,1.35
Mxy,Max,dlc61_U50_Ym8_278,-495428832,59869643.4,499033137.6,-40452018.3,1697281.93125,4388211.7875,4705015.275,-23676057,1.35
Mxy,Min,dlc13_U04_Yp10_746,-2053.17531738281,-9663.70012207031,9879.40415039063,-13482212.4,806601.54375,-9250.32194824219,806654.53125,-24361803,1.35
Mz,Max,dlc13_U24_Yp10_735,64585755,-12504447.9,65785111.2,82193869.8,957636.590625,268440.68671875,994549.21875,-25129585.8,1.35
Mz,Min,dlc13_U24_Ym10_735,-8040205.8,9390023.55,12361935.15,-90341924.4,734912.6625,330124.5703125,805654.35,-23795151.3,1.35
Fx,Max,dlc13_U18_Ym10_353,8885157.975,430293513.6,430385227.2,-18715683.15,4779326.025,200006.5078125,4783509,-24947225.1,1.35
Fx,Min,dlc14_U11,109238965.2,-220873737.6,246410942.4,53850690,-1387467.9,-765285.975,1584528.24375,-24332726.7,1.35
Fy,Max,dlc61_U50_Ym8_278,-495600292.8,55081474.2,498651811.2,-41606986.5,1602589.3875,4400766.45,4683485.475,-23597530.2,1.35
Fy,Min,dlc61_U50_Yp8_37,455494708.8,-101778541.2,466727227.2,44367282.9,365571.05625,-4062277.2375,4078693.2375,-23918643.9,1.35
Fxy,Max,dlc13_U18_Ym10_353,9394039.8,429759518.4,429862204.8,-20873659.5,4772817,-428268.2625,4791992.7375,-24733690.2,1.35
Fxy,Min,dlc64_U08_Ym8_181,-356121.5,-73601216,73602080,-165686.5625,-3.80689167976379,-1.63666260242462,4.14380121231079,-18003126,1
